nazwa,miejscowosc,opis
Zbiornik Dziećkowice,Imielin,Duży zbiornik zaporowy - czysta woda.
Wisła - Odcinek 1,Warszawa,Brzeg kamienisty - nurt średni.
Jezioro Maltańskie,Poznań,Tor regatowy - płytko przy brzegu.
Staw Cegielnia,Bieruń,Mały zbiornik - idealny na spławik.
Rzeka Odra,Wrocław,Głębokie rynny - silny nurt.
Zalew Zegrzyński,Zegrze,Bardzo popularne łowisko spinningowe.
Jezioro Rożnowskie,Rożnów,Piękne widoki - trudny dostęp do wody.
Zbiornik Goczałkowice,Goczałkowice,Zakaz używania silników spalinowych.
Staw Maroko,Katowice,Łowisko miejskie - dużo drobnej ryby.
Kanał Żerański,Nieporęt,Woda stojąca - kanał żeglowny.
